canonicalName,hairs,spines,clonal_cat,annual_perennial_cat,woody_herbaceous_cat,REFERENCE,NOTES
Inula helenium,1,0,1,Perennial,,"https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277211#:~:text=Inula%20helenium%2C%20commonly%20called%20elecampane,to%20Minnesota%20south%20to%20North",
Lactuca serriola,0,1,0,Perennial,,Plantnet,
Lantana camara,1,1,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/Lantana,
Larix kaempferi,0,0,0,Perennial,,"https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285017#:~:text=Larix%20kaempferi%2C%20commonly%20called%20Japanese,conical%20crown%20and%20horizontal%20branches.",
Lepidium draba,1,0,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/HoaryCress,
Leptospermum laevigatum,0,0,0,Perennial,,Plantnet,
Lespedeza cuneata,1,0,1,Perennial,,https://wiki.bugwood.org/Lespedeza_cuneata,root crown buds
Leucanthemum vulgare,1,0,1,Perennial,,https://keyserver.lucidcentral.org/weeds/data/media/Html/leucanthemum_vulgare.htm,
Ligustrum lucidum,0,0,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/Privetbroadleaf,
Ligustrum sinense,1,0,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/PrivetNarrowleaf,
Linaria vulgaris,0,0,1,Perennial,,https://www.library.nd.gov/statedocs/AgDept/Yellowtoadflax20090112.pdf,
Liriodendron tulipifera,0,0,1,Perennial,,https://srs.fs.usda.gov/pubs/misc/ag_654/volume_2/liriodendron/tulipifera.htm,
Lonicera fragrantissima,1,0,1,Perennial,,"https://liisma.org/winter-honeysuckle-lonicera-fragrantissima/#:~:text=The%20plant%20is%20difficult%20to,to%20reproduce%20from%20root%20fragments.",
Lonicera japonica,0,0,1,Perennial,,https://keyserver.lucidcentral.org/weeds/data/media/Html/lonicera_japonica.htm,
Lonicera maackii,1,0,1,Perennial,,https://www.invasive.org/alien/pubs/midatlantic/loma.htm,
Lonicera tatarica,1,0,1,Perennial,,https://www.mda.state.mn.us/plants/pestmanagement/weedcontrol/noxiouslist/tatarianhoneysuckle,
Lonicera xylosteum,1,0,,Perennial,,"https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278935#:~:text=Lonicera%20xylosteum%2C%20commonly%20called%20European,to%2010%2D12'%20wide.",
Maclura pomifera,0,1,0,Perennial,Woody,Plantnet,
Macropiper excelsum,0,0,0,Perennial,,https://www.nzpcn.org.nz/flora/species/piper-excelsum-subsp-psittacorum/,
Mastocarpus stellatus,,,,,,,
Medicago lupulina,1,0,0,Annual,,Plantnet,
Medicago polymorpha,1,0,0,Annual,,Plantnet,
Melianthus major,0,0,1,Perennial,,https://www.nzpcn.org.nz/flora/species/melianthus-major/,
Melilotus officinalis,1,0,0,Annual,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.33697,
Myriophyllum aquaticum,0,0,1,Perennial,,Plantnet,
Osteospermum moniliferum,1,0,0,Perennial,Woody,"https://keyserver.lucidcentral.org/weeds/data/media/Html/chrysanthemoides_monilifera_subsp._monilifera.htm#:~:text=monilifera)%20reproduces%20mainly%20by%20seed,and%20in%20dumped%20garden%20waste.",
Paraserianthes lophantha,0,0,0,Perennial,Woody,https://keyserver.lucidcentral.org/weeds/data/media/Html/paraserianthes_lophantha_subsp._lophantha.htm,
